DATE,Actual GDP Growth,ADL(1) Forecast,ADL(2) Forecast,AR(2) Forecast,VAR(2) Forecast,Combined Forecast,ADL(1)-ToT Forecast,ADL(1)-DeltaRate Forecast
2013-12-31 23:59:59.999999999,2.518791031048817,2.314801531197932,2.3766706281497165,2.5186631372368415,2.563068258071205,2.4655109755019926,2.557939192718801,2.4783564913575193
2014-03-31 23:59:59.999999999,2.8065797557629724,2.415426309851674,2.4517902694929665,2.7703064107613065,2.51295293680118,2.566228552471387,2.643050368143878,2.6197709475063515
2014-06-30 23:59:59.999999999,2.9190410422032853,2.4757874371947133,2.4753105492433947,2.9651877695424007,2.8584356037149927,2.7664702701507022,2.7994765954563934,2.666180624581318
2014-09-30 23:59:59.999999999,2.5294271732035023,2.8054666495806844,2.769335097174591,3.0197824051720312,2.9434339814297723,2.9228943453941625,2.857138776448066,2.9527436340982276
2014-12-31 23:59:59.999999999,2.097228581210109,2.506309107553971,2.4284669418821867,2.6745920739359565,2.8921177766426363,2.6910063193775215,2.7229996209990035,2.62937324696914
2015-03-31 23:59:59.999999999,2.2848254760905906,2.2670919545200303,2.233828918336144,2.35183730263994,2.6332335943521388,2.417387617170703,2.6235258675678437,2.351385430728943
2015-06-30 23:59:59.999999999,1.901150750095204,2.391903105728582,2.457034742952157,2.562449093654185,2.6637710151871277,2.5393744048566314,3.221446272343907,2.4619768310760075
2015-09-30 23:59:59.999999999,2.4948041809868426,2.2735063367971358,2.2497637353600335,2.198353273280555,2.0967123687064766,2.1895239929280557,2.284620750830961,2.3599743211962703
2015-12-31 23:59:59.999999999,2.7088337066985657,2.555082335353814,2.655843927490634,2.749493596054332,2.719619314048947,2.674731748485698,2.6598016693040325,2.6768540378065477
2016-03-31 23:59:59.999999999,2.6773834034643285,2.728920236904994,2.7426045669545345,2.8542315532421627,2.7654036377611675,2.7828518093027745,2.785487791752815,2.8629653948485814
2016-06-30 23:59:59.999999999,3.230770153095386,2.8093195165392215,2.793367158753703,2.7989856201794563,2.906075344250296,2.838126826989658,2.837819630314194,2.9118423829248457
2016-09-30 23:59:59.999999999,2.2307112518769046,3.0189688944661093,3.062271458039837,3.269662990421081,3.2449829130251606,3.1778715993041167,3.2289235122893682,3.121227277843444
2016-12-31 23:59:59.999999999,2.742808143068154,2.423089025955172,2.262577487977873,2.368726343675156,2.177936645498718,2.323250671709682,2.4866178704118878,2.519048961111058
2017-03-31 23:59:59.999999999,2.1737859536986592,2.5907041074684214,2.643091541576902,2.8987855290341953,2.7460168259801416,2.7451688208275864,2.774321910416122,2.731981704562695
2017-06-30 23:59:59.999999999,2.1313500098727456,2.3901987195851695,2.3026208840583133,2.3751912637890777,2.083901250247596,2.2830970778739474,2.283631880737128,2.5596335473574015
2017-09-30 23:59:59.999999999,3.024585643377553,2.238186516915297,2.2382339436399215,2.3867170152989177,2.3463114235652585,2.3237383185931577,2.294938021508653,2.3848104576335323
2017-12-31 23:59:59.999999999,2.354312666657732,2.852970193835577,2.939374974397532,3.1280041313590483,2.9879886818245978,2.9896543356730745,2.8320875586637824,3.036550957080981
2018-03-31 23:59:59.999999999,3.0559873358572576,2.716774019424079,2.6130112188775776,2.4986121248173707,2.3788415845266813,2.53140924292271,2.420838881671164,2.89356935057561
2018-06-30 23:59:59.999999999,3.1884969976345046,2.810922271272782,2.86159033731946,3.1135094514223196,2.990596117161254,2.971675946618786,2.876149196872518,3.0017564777080104
2018-09-30 23:59:59.999999999,2.678274589355656,2.9951769700461304,2.9601170306523517,3.16737507488502,3.0209465828171047,3.0611662092494183,2.960760173652832,3.1828776555747478
2018-12-31 23:59:59.999999999,2.4804470527509004,2.7455615022940565,2.655456557577439,2.7500621171563093,2.701871192345373,2.7324982705985796,2.677605742722023,2.883235123664283
2019-03-31 23:59:59.999999999,2.004671150280002,2.512851488757597,2.480742338382374,2.627618693697114,2.594435161710029,2.5783017813882467,2.544078812229989,2.624811520922016
2019-06-30 23:59:59.999999999,1.5758459678989478,2.4543606795191826,2.4238521908387485,2.254321746948629,2.4189228230487654,2.3758684165055257,2.3593641194557637,2.4980600439571674
2019-09-30 23:59:59.999999999,1.723942384030841,1.9756090404142288,1.962254232119861,1.9293661799788213,1.7344451352735297,1.8798067852221934,1.960244097221481,2.026553596842412
2019-12-31 23:59:59.999999999,1.9605266759738171,2.020566906140227,2.0726873168055246,2.075068803988808,1.8516352896511115,1.982423666593382,1.957521444060866,2.1408045735294747
2020-03-31 23:59:59.999999999,1.183300977919699,2.1544354787720956,2.1957415817433947,2.2507430694101602,2.0419490164676226,2.14904252154996,2.056683547449457,2.3366618939160326
2020-06-30 23:59:59.999999999,-6.15676736258669,1.757346497592261,1.6914476764866204,1.5737631035445705,1.337835767212849,1.5563151227832268,1.4662899147731556,1.9366546733391332
2020-09-30 23:59:59.999999999,-3.2142972748427368,-3.309827102915478,-4.094061329396567,-5.882762901221216,-4.023105101168279,-4.405231701768325,-3.5461963743328,-5.056461420688565
